Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
22,K078,I.S. 78 - BROOKLYN,SCA Furniture & Equipment,FY25 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,250000,250000.00,0.00,DSF0001112556
22,K078,I.S. 78 - BROOKLYN,SCA Furniture & Equipment,FY25 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,250000,250000.00,0.00,DSF0001112555
22,K078,I.S. 78 - BROOKLYN,Fast Track Projects,CTF CHARTER MATCH ROOM CONVERSION,Construction,In-Progress,11/2/2024,FTK,,FTK,254037.00,99531.00,DSF0001112107
22,K078,I.S. 78 - BROOKLYN,Fast Track Projects,PATH OF TRAVEL CTF/CHARTER MATCH ROOM CONVERSION,Construction,In-Progress,1/9/2025,FTK,,FTK,67832.00,40792.00,DSF0001112110
22,K078,I.S. 78 - BROOKLYN,Fast Track Projects,LSP HOT WATER HEATER & VACUUM PUMP,Construction,In-Progress,9/21/2018,FTK,,FTK,908481.00,903518.00,DSF0000888816
22,K078,I.S. 78 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,12/2/2024,DOES,12/11/2024,DOES,65832.00,,DSF0001084732
22,K078,I.S. 78 - BROOKLYN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,4/2/2024,DOES,,DOES,492147.00,0.00,DSF0001085715
22,K119,P.S. 119 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3/10/2025,7/9/2025,3/17/2025,2612,933.00,933.00,DSF0001087393
22,K119,P.S. 119 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,In-Progress,3/17/2025,9/10/2025,,10448,10448.00,3731.00,DSF0001087393
22,K119,P.S. 119 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,150184,150184.00,0.00,DSF0001087393
22,K119,P.S. 119 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,38526,38526.00,0.00,DSF0001087393
22,K119,P.S. 119 - BROOKLYN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,Complete,12/6/2023,6/5/2024,4/12/2024,0,19689.00,19689.00,"DSF0001085979, DSF0001087007"
22,K119,P.S. 119 - BROOKLYN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,Complete,4/23/2024,8/26/2024,8/13/2024,45000,68304.00,55453.00,"DSF0001085979, DSF0001087007"
22,K119,P.S. 119 - BROOKLYN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,In-Progress,2/26/2025,1/21/2026,,660000,585853.00,25802.00,"DSF0001085979, DSF0001087007"
22,K119,P.S. 119 - BROOKLYN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",In-Progress,2/26/2025,1/21/2026,,45000,66055.00,24903.00,"DSF0001085979, DSF0001087007"
22,K119,P.S. 119 - BROOKLYN,SCA IEH,PO18-ABATE  & REMOVE APPROX 5FT OF ACM FROM A TWO INCH COLD WATER PIPE LOCATED OUTSIDE ROOM 202 NEAR,Construction,Complete,1/30/2025,IEH,2/8/2025,IEH,21176.00,2843.00,SCA0000073856
22,K119,P.S. 119 - BROOKLYN,DOE - RESOA,FY22 RESO A ELECTRICAL UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,0.00,DSF0001033476
22,K119,P.S. 119 - BROOKLYN,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,143844.00,0.00,DSF0001035428
22,K119,P.S. 119 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/8/2024,DOES,10/14/2024,DOES,65832.00,378.00,DSF0001084045
22,K139,P.S. 139 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Scope,Complete,5/15/2023,9/29/2023,9/26/2023,8122,18948.00,18948.00,DSF0001062173
22,K139,P.S. 139 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Design,Complete,10/5/2023,3/12/2024,3/19/2024,36547,39438.00,38849.00,DSF0001062173
22,K139,P.S. 139 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,471054,471054.00,32252.00,DSF0001062173
22,K139,P.S. 139 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,87307,87307.00,15924.00,DSF0001062173
22,K139,P.S. 139 - BROOKLYN,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,Complete,1/25/2023,5/25/2023,6/5/2023,0,26505.00,13873.00,"DSF0001035441, DSF0001035442"
22,K139,P.S. 139 - BROOKLYN,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,Complete,6/5/2023,10/19/2023,10/17/2023,48600,58018.00,55627.00,"DSF0001035441, DSF0001035442"
22,K139,P.S. 139 - BROOKLYN,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,In-Progress,5/8/2024,4/2/2025,,712800,679514.00,6014.00,"DSF0001035441, DSF0001035442"
22,K139,P.S. 139 - BROOKLYN,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",In-Progress,5/8/2024,4/2/2025,,48600,60111.00,10215.00,"DSF0001035441, DSF0001035442"
22,K139,P.S. 139 - BROOKLYN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,2/9/2022,EMER,,EMER,148276.00,89902.00,SCA0000070852
22,K139,P.S. 139 - BROOKLYN,SCA IEH,PO18-ABATE FUEL OIL PIPE INUSLATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET,Construction,In-Progress,2/25/2025,IEH,,IEH,1250.00,0.00,SCA0000073952
22,K139,P.S. 139 - BROOKLYN,DOE - RESOA,RESO A DIGITAL SIGN,Construction,PNS,PNS,PNS,PNS,DOER,50000.00,0.00,DSF0001113818
22,K152,P.S. 315 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,10/20/2015,1/22/2016,12/21/2015,18645,36173.00,36173.00,DSF0000803297
22,K152,P.S. 315 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,1/28/2016,7/29/2016,6/3/2016,74580,175421.00,141902.00,DSF0000803297
22,K152,P.S. 315 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,1/8/2018,11/3/2018,,1398375,2877769.00,1967359.00,DSF0000803297
22,K152,P.S. 315 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,1/8/2018,11/3/2018,,87010,999051.00,911290.00,DSF0000803297
22,K152,P.S. 315 - BROOKLYN,SCA CIP,HVAC UPGRADE / BMS UPGRADE,Scope,Complete,11/10/2022,4/17/2023,11/15/2023,84809,105002.00,105002.00,"DSF0001011666, DSF0001111841"
22,K152,P.S. 315 - BROOKLYN,SCA CIP,HVAC UPGRADE / BMS UPGRADE,Design,Complete,11/28/2023,4/30/2024,8/26/2024,424041,336305.00,326631.00,"DSF0001011666, DSF0001111841"
22,K152,P.S. 315 - BROOKLYN,SCA CIP,HVAC UPGRADE / BMS UPGRADE,Construction,PNS,PNS,PNS,PNS,9540915,9540915.00,19189.00,"DSF0001011666, DSF0001111841"
22,K152,P.S. 315 - BROOKLYN,SCA CIP,HVAC UPGRADE / BMS UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,593657,593657.00,79098.00,"DSF0001011666, DSF0001111841"
22,K152,P.S. 315 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS / PARAPETS / FLOOD ELIMINATION / PAVED AREA- CONCRETE,Scope,Complete,6/12/2023,12/11/2023,11/3/2023,489271,337662.00,336359.00,"DSF0001062349, DSF0001062351, DSF0001111792, DSF0001111791, DSF0001111790, DSF0001111789"
22,K152,P.S. 315 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS / PARAPETS / FLOOD ELIMINATION / PAVED AREA- CONCRETE,Design,Complete,8/15/2024,1/21/2025,1/21/2025,2283264,597666.00,597666.00,"DSF0001062349, DSF0001062351, DSF0001111792, DSF0001111791, DSF0001111790, DSF0001111789"
22,K152,P.S. 315 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS / PARAPETS / FLOOD ELIMINATION / PAVED AREA- CONCRETE,Construction,PNS,PNS,PNS,PNS,36206060,36206060.00,28363.00,"DSF0001062349, DSF0001062351, DSF0001111792, DSF0001111791, DSF0001111790, DSF0001111789"
22,K152,P.S. 315 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS / PARAPETS / FLOOD ELIMINATION / PAVED AREA- CONCRETE,"CM,F&E",PNS,PNS,PNS,PNS,3587989,3587989.00,127962.00,"DSF0001062349, DSF0001062351, DSF0001111792, DSF0001111791, DSF0001111790, DSF0001111789"
22,K152,P.S. 152 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,Complete,1/25/2023,4/25/2023,4/12/2023,0,30193.00,30193.00,DSF0001035446
22,K152,P.S. 152 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,Complete,4/21/2023,9/7/2023,9/1/2023,33000,47548.00,43356.00,DSF0001035446
22,K152,P.S. 152 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,484000,484000.00,500.00,DSF0001035446
22,K152,P.S. 152 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,33000,33000.00,4878.00,DSF0001035446
22,K152,P.S. 152 - BROOKLYN,SCA CIP RESOA,FY24 RESO A LIBRARY UPGRADE,Scope,Complete,12/8/2023,4/11/2024,4/9/2024,0,16953.00,16953.00,DSF0001085999
22,K152,P.S. 152 - BROOKLYN,SCA CIP RESOA,FY24 RESO A LIBRARY UPGRADE,Design,Complete,4/16/2024,8/30/2024,1/3/2025,87000,55854.00,33435.00,DSF0001085999
22,K152,P.S. 152 - BROOKLYN,SCA CIP RESOA,FY24 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,1276000,1276000.00,500.00,DSF0001085999
22,K152,P.S. 152 - BROOKLYN,SCA CIP RESOA,FY24 RESO A LIBRARY UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,87000,87000.00,15385.00,DSF0001085999
22,K152,P.S. 152 - BROOKLYN,SCA Emergency Response,EMERGENCY STABILIZATION- SWB @ K152,Construction,In-Progress,7/10/2023,EMER,,EMER,74083.00,72376.00,SCA0000072115
22,K152,P.S. 315 - BROOKLYN,SCA IEH,PO18-ABATE THE MARKED AREAS IN 2ND FLOOR BATHROOM FULL PENETRATION THROUGH FLOOR SLAB IS NEEDED FOR,Construction,Complete,12/5/2024,IEH,12/26/2024,IEH,16167.00,16167.00,SCA0000073672
22,K152,P.S. 315 - BROOKLYN,Fast Track Projects,FY22 RESO A ROOM CONVERSION,Construction,In-Progress,9/14/2023,FTK,,FTK,112509.00,106929.00,DSF0001033542
22,K152,P.S. 315 - BROOKLYN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Construction,PNS,PNS,PNS,PNS,DIIR,5524.00,0.00,DSF0001085998
22,K152,P.S. 315 - BROOKLYN,DOE - RESOA,FY20 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,2/7/2020,DOER,,DOER,38382.00,0.00,DSF0000913226
22,K152,P.S. 315 - BROOKLYN,DOE - RESOA,FY21 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,11/16/2022,DOER,,DOER,132131.00,0.00,DSF0001008310
22,K152,P.S. 152 - BROOKLYN,DOE - RESOA,FY20 RESO A DIGITAL SIGN,Construction,In-Progress,10/11/2021,DOER,,DOER,38760.00,0.00,DSF0001008813
22,K152,P.S. 315 - BROOKLYN,DOE - RESOA,FY23 RESO A MULTIMEDIA CENTER,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,0.00,DSF0001035448
22,K152,P.S. 315 - BROOKLYN,DOE - RESOA,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,0.00,DSF0001112587
22,K152,P.S. 315 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,2/13/2024,DOES,11/25/2024,DOES,65832.00,8178.00,DSF0001084063
22,K193,P.S. 193 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEM / PARAPETS / EXTERIOR MASONRY / ROOFS,Scope,Complete,3/26/2021,11/22/2022,7/19/2023,237237,396633.00,389727.00,"DSF0001008653, DSF0000987593, DSF0001012375, DSF0001012376, DSF0001085832"
22,K193,P.S. 193 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEM / PARAPETS / EXTERIOR MASONRY / ROOFS,Design,Complete,8/21/2023,1/25/2024,4/4/2024,1167416,865227.00,704226.00,"DSF0001008653, DSF0000987593, DSF0001012375, DSF0001012376, DSF0001085832"
22,K193,P.S. 193 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEM / PARAPETS / EXTERIOR MASONRY / ROOFS,Construction,In-Progress,7/18/2024,1/3/2027,,24643557,22330953.00,397468.00,"DSF0001008653, DSF0000987593, DSF0001012375, DSF0001012376, DSF0001085832"
22,K193,P.S. 193 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEM / PARAPETS / EXTERIOR MASONRY / ROOFS,"CM,F&E",In-Progress,7/18/2024,1/3/2027,,1801406,502868.00,499507.00,"DSF0001008653, DSF0000987593, DSF0001012375, DSF0001012376, DSF0001085832"
22,K193,P.S. 193 - BROOKLYN,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,Scope,In-Progress,2/4/2025,6/5/2025,,0,28434.00,210.00,DSF0001112601
22,K193,P.S. 193 - BROOKLYN,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,120000,91566.00,839.00,DSF0001112601
22,K193,P.S. 193 - BROOKLYN,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,1760000,1760000.00,0.00,DSF0001112601
22,K193,P.S. 193 - BROOKLYN,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,120000,120000.00,191.00,DSF0001112601
22,K193,P.S. 193 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113573
22,K193,P.S. 193 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113573
22,K193,P.S. 193 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113573
22,K193,P.S. 193 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113573
22,K193,P.S. 193 - BROOKLYN,SCA IEH,PO18-ABATE PIPE COVERING THERMAL PIPE COVERING IN METAL JACKET HALLWAY OUTSIDE ROOM 211 SPACE ID#300,Construction,Complete,3/7/2025,IEH,3/26/2025,IEH,1407.00,657.00,SCA0000074037
22,K193,P.S. 193 - BROOKLYN,Fast Track Projects,LSP PVI DOMESTIC WATER HEATER,Construction,In-Progress,5/7/2019,FTK,,FTK,251347.00,145443.00,DSF0000893807
22,K193,P.S. 193 - BROOKLYN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,534000.00,0.00,DSF0001033032
22,K193,P.S. 193 - BROOKLYN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001086017
22,K193,P.S. 193 - BROOKLYN,DOE - RESOA,FY21 RESO A CAFETERIA UPGRADE,Construction,In-Progress,3/23/2022,DOER,,DOER,604523.00,0.00,DSF0001008311
22,K194,P.S. 194 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Scope,Complete,2/26/2021,7/13/2021,11/29/2021,109900,96698.00,96698.00,DSF0001008565
22,K194,P.S. 194 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Design,Complete,11/29/2021,5/17/2022,2/8/2023,549500,372921.00,270060.00,DSF0001008565
22,K194,P.S. 194 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Construction,In-Progress,9/18/2023,11/5/2025,,12363750,11430456.00,2167864.00,DSF0001008565
22,K194,P.S. 194 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY,"CM,F&E",In-Progress,9/18/2023,11/5/2025,,771474,818109.00,809189.00,DSF0001008565
22,K194,P.S. 194 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113574
22,K194,P.S. 194 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113574
22,K194,P.S. 194 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113574
22,K194,P.S. 194 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113574
22,K194,P.S. 194 - BROOKLYN,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Scope,In-Progress,3/17/2025,7/17/2025,,0,0.00,0.00,DSF0001112602
22,K194,P.S. 194 - BROOKLYN,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Design,PNS,PNS,PNS,PNS,45000,45000.00,0.00,DSF0001112602
22,K194,P.S. 194 - BROOKLYN,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,660000,660000.00,0.00,DSF0001112602
22,K194,P.S. 194 - BROOKLYN,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,45000,45000.00,727.00,DSF0001112602
22,K194,P.S. 194 - BROOKLYN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,10/15/2024,DOER,,DOER,269352.00,0.00,DSF0001033499
22,K195,P.S. 195 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Scope,Complete,6/2/2021,10/18/2021,12/22/2021,19147,30265.00,30265.00,DSF0000939151
22,K195,P.S. 195 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Design,Complete,12/22/2021,5/25/2022,5/5/2022,95734,81621.00,79848.00,DSF0000939151
22,K195,P.S. 195 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Construction,In-Progress,1/9/2023,4/2/2024,,2154024,1946000.00,1496629.00,DSF0000939151
22,K195,P.S. 195 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,"CM,F&E",In-Progress,1/9/2023,4/2/2024,,134028,476940.00,469217.00,DSF0000939151
22,K195,P.S. 195 - BROOKLYN,SCA CIP,PARAPETS / WINDOWS / ROOFS,Scope,Complete,6/14/2024,10/31/2024,2/27/2025,91123,159610.00,78696.00,"DSF0001090831, DSF0001090832, DSF0001118451"
22,K195,P.S. 195 - BROOKLYN,SCA CIP,PARAPETS / WINDOWS / ROOFS,Design,In-Progress,3/10/2025,8/8/2025,,412693,412693.00,13084.00,"DSF0001090831, DSF0001090832, DSF0001118451"
22,K195,P.S. 195 - BROOKLYN,SCA CIP,PARAPETS / WINDOWS / ROOFS,Construction,PNS,PNS,PNS,PNS,6432532,6432532.00,0.00,"DSF0001090831, DSF0001090832, DSF0001118451"
22,K195,P.S. 195 - BROOKLYN,SCA CIP,PARAPETS / WINDOWS / ROOFS,"CM,F&E",PNS,PNS,PNS,PNS,807844,807844.00,16281.00,"DSF0001090831, DSF0001090832, DSF0001118451"
22,K195,P.S. 195 - BROOKLYN,SCA CIP,FLOOD ELIMINATION,Scope,Complete,6/14/2024,10/31/2024,2/27/2025,233,233.00,233.00,DSF0001113781
22,K195,P.S. 195 - BROOKLYN,SCA CIP,FLOOD ELIMINATION,Design,PNS,PNS,PNS,PNS,930,930.00,930.00,DSF0001113781
22,K195,P.S. 195 - BROOKLYN,SCA CIP,FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,5830,5830.00,0.00,DSF0001113781
22,K195,P.S. 195 - BROOKLYN,SCA CIP,FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,1780,1780.00,1780.00,DSF0001113781
22,K195,P.S. 195 - BROOKLYN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,8/23/2021,EMER,,EMER,15642.00,15642.00,SCA0000070421
22,K195,P.S. 195 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,150000.00,0.00,DSF0001112604
22,K195,P.S. 195 - BROOKLYN,DOE - RESOA,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,210000.00,0.00,DSF0001112603
22,K197,P.S. 197 - BROOKLYN,SCA CIP,PERM FIX- REINFORCING SUPPORT ELEMENTS @ K197,Scope,Complete,11/28/2023,4/15/2024,2/8/2024,13400,21410.00,21410.00,DSF0001111959
22,K197,P.S. 197 - BROOKLYN,SCA CIP,PERM FIX- REINFORCING SUPPORT ELEMENTS @ K197,Design,Complete,2/12/2024,7/15/2024,5/14/2024,67000,78164.00,70754.00,DSF0001111959
22,K197,P.S. 197 - BROOKLYN,SCA CIP,PERM FIX- REINFORCING SUPPORT ELEMENTS @ K197,Construction,In-Progress,8/5/2024,8/4/2025,,1507500,1484035.00,70209.00,DSF0001111959
22,K197,P.S. 197 - BROOKLYN,SCA CIP,PERM FIX- REINFORCING SUPPORT ELEMENTS @ K197,"CM,F&E",In-Progress,8/5/2024,8/4/2025,,93800,211824.00,210914.00,DSF0001111959
22,K197,P.S. 197 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113575
22,K197,P.S. 197 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113575
22,K197,P.S. 197 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113575
22,K197,P.S. 197 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113575
22,K197,P.S. 197 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001112605
22,K197,P.S. 197 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001112605
22,K197,P.S. 197 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001112605
22,K197,P.S. 197 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001112605
22,K197,P.S. 197 - BROOKLYN,SCA IEH,PO18-PERFORE SUPPLEMENTAL  QC SAMPLING OF WALL PLASTER IN ROOM 405  ABATE IF NECESSARY : WALL PLASTE,Construction,Complete,12/11/2024,IEH,2/15/2025,IEH,78314.00,2514.00,SCA0000073693
22,K197,P.S. 197 - BROOKLYN,Fast Track Projects,IPDVS INSTALLATIONS,Construction,In-Progress,11/21/2024,FTK,,FTK,294255.00,29807.00,DSF0001087421
22,K197,P.S. 197 - BROOKLYN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,300000.00,0.00,DSF0001086021
22,K197,P.S. 197 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,150000.00,0.00,DSF0001112606
22,K197,P.S. 197 - BROOKLYN,DOE - RESOA,FY19 RESO A HYDROPONICS LAB,Construction,In-Progress,4/12/2019,DOER,,DOER,119721.00,0.00,DSF0000890651
22,K197,P.S. 197 - BROOKLYN,DOE - RESOA,FY21 RESO A BATHROOM UPGRADE,Construction,In-Progress,9/23/2021,DOER,,DOER,90313.00,0.00,DSF0001008342
22,K197,P.S. 197 - BROOKLYN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,128880.00,0.00,DSF0001035467
22,K197,P.S. 197 - BROOKLYN,Trust For Public Land,TPL ¿ EXTREME WEATHER PLAYGROUND UPGRADE,Construction,In-Progress,11/19/2024,TPL,,TPL,3997715.00,1314575.00,DSF0001034697
22,K198,P.S. 198 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113576
22,K198,P.S. 198 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113576
22,K198,P.S. 198 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113576
